city,state,population
Hanford ,CA,"50,103"
Minnetonka ,MN,"50,081"
Mishawaka ,IN,"50,026"
Apple Valley ,MN,"50,004"
Gilroy ,CA,"49,934"
Berwyn ,IL,"49,919"
Alpharetta ,GA,"49,903"
Smyrna ,GA,"49,854"
La Mirada ,CA,"49,809"
Joplin ,MO,"49,775"
Yucaipa ,CA,"49,750"
Bellevue ,NE,"49,699"
Placentia ,CA,"49,692"
Grand Junction ,CO,"49,688"
Georgetown ,TX,"49,618"
Rancho Santa Margarita ,CA,"49,591"
Mansfield ,OH,"49,579"
Oak Park,IL,"49,557"
Redmond ,WA,"49,548"
Brentwood ,CA,"49,480"
Glendora ,CA,"49,410"
Downers Grove,IL,"49,250"
Palm Beach Gardens ,FL,"49,227"
Huntington ,WV,"49,185"
San Ramon ,CA,"49,161"
Bedford ,TX,"49,155"
Jupiter,FL,"48,879"
Poway ,CA,"48,858"
Perth Amboy ,NJ,"48,742"
Tigard ,OR,"48,713"
Logan ,UT,"48,657"
Alexandria ,LA,"48,639"
Valdosta ,GA,"48,547"
East Providence ,RI,"48,480"
Wilson ,NC,"48,433"
Albany ,OR,"48,081"
Middletown ,CT,"48,030"
Palm Springs ,CA,"47,952"
Sheboygan ,WI,"47,895"
Hendersonville ,TN,"47,725"
Greenwood ,IN,"47,720"
Stillwater ,OK,"47,653"
DeSoto ,TX,"47,568"
West Sacramento ,CA,"47,511"
Bartlett ,TN,"47,501"
Kentwood ,MI,"47,419"
Euclid ,OH,"47,415"
Enid ,OK,"47,396"
Kirkland ,WA,"47,303"
Buckeye,AZ,"47,261"
Newark ,OH,"47,236"
Pinellas Park ,FL,"47,173"
Harrisburg ,PA,"47,148"
Cypress ,CA,"47,123"
Covina ,CA,"46,944"
Azusa ,CA,"46,847"
Lenexa ,KS,"46,822"
Lehi ,UT,"46,802"
Roseville ,MI,"46,782"
Salina ,KS,"46,483"
West New York,NJ,"46,472"
Roswell ,NM,"46,198"
Barnstable Town ,MA,"46,184"
Glenview,IL,"46,180"
Richland ,WA,"46,155"
Altoona ,PA,"46,144"
Mansfield ,TX,"46,142"
Portage ,MI,"46,133"
Plainfield ,NJ,"46,126"
Chesterfield ,MO,"46,064"
Elmhurst ,IL,"46,013"
East Lansing ,MI,"45,857"
Cleveland Heights ,OH,"45,827"
Grand Island ,NE,"45,801"
Kokomo ,IN,"45,694"
Biloxi ,MS,"45,670"
Edina ,MN,"45,608"
Maricopa ,AZ,"45,571"
DeKalb ,IL,"45,497"
St. Louis Park ,MN,"45,465"
Olympia ,WA,"45,322"
Summerville,SC,"45,193"
Wauwatosa ,WI,"45,004"
Cedar Hill ,TX,"44,786"
Titusville ,FL,"44,756"
Binghamton ,NY,"44,729"
Bell Gardens ,CA,"44,692"
Danville ,VA,"44,660"
Texas City ,TX,"44,491"
Bountiful ,UT,"44,473"
Kingsport ,TN,"44,473"
Castle Rock,CO,"44,369"
Dublin ,CA,"44,297"
Southaven ,MS,"44,076"
Methuen ,MA,"44,055"
Huntersville,NC,"44,054"
Harrisonburg ,VA,"44,015"
Freeport,NY,"43,881"
La Quinta ,CA,"43,865"
Warren ,OH,"43,789"
Parker,CO,"43,767"
San Luis Obispo ,CA,"43,636"
Lincoln ,CA,"43,602"
Oro Valley,AZ,"43,465"
East Point ,GA,"43,418"
Coeur d'Alene ,ID,"43,360"
Sierra Vista ,AZ,"43,320"
Woonsocket ,RI,"43,268"
Lawrence ,IN,"43,247"
Covington ,KY,"43,235"
Moline ,IL,"43,088"
Buffalo Grove,IL,"42,972"
Lombard,IL,"42,890"
Attleboro ,MA,"42,833"
