Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 7, 2017","2:00 PM, EST",City Hall,"86 S Main St, Linton, IN 47441"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 9, 2017","10:00 AM, CST",Mt. Vernon Mayor's Office,"520 Main St, Mt Vernon, IN 47620"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 14, 2017","10:00 AM, EST",Owen County Court House,"60 S Main St, Spencer, IN 47460"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Wed, Mar 15, 2017","1:00 PM, EST","Washington Mayor's Office, City Council Chambers","200 Harned Ave, Washington, IN 47501"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 16, 2017","10:00 AM, CST",Princeton City Hall,"310 W State St, Princeton, IN 47670"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 16, 2017","9:30 AM, EST",Courthouse,"100 N Court St, Sullivan, IN 47882"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 21, 2017","12:30 PM, EST",Parke County Courthouse,"116 W High St, Rockville, IN 47872"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 21, 2017","1:30 PM, CST",Rockport City Hall,"426 Main St, Rockport, IN 47635"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 21, 2017","9:30 AM, EST",Clinton City Hall Municipal Building,"259 Vine St, Clinton, IN 47842"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 23, 2017","11:00 AM, EST","Loogootee Municipal Building, Council Chamber","401 John F Kennedy Ave, Loogootee, IN 47553"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 28, 2017","1:30 PM, CST",Newburgh Town Hall (Conference Room),"23 W Jennings St, Newburgh, IN 47630"
Andre Carson,Democratic,Indiana,IN-7,Office Hours,"Wed, Mar 29, 2017","3:00 PM, EST",Christamore House Family & Community Center,"502 N Tremont St, Indianapolis, IN 46222"
Andre Carson,Democrat,Indiana,IN-07,Office Hours,"Wed, Mar 29, 2017","3:00 PM, EST",Christamore House Family & Community Center,"502 N Tremont St, Indianapolis, IN 46222"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 4, 2017","1:30 PM, EST",Huntingburg City Hall,"508 E 4th St, Huntingburg, IN 47542"
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 11, 2017","1:30 PM, CST",Cannelton City Hall,"210 S 8th St #2, Cannelton, IN 47520"
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 25, 2017","3:00 PM, CST",Boonville-Warrick County Public Library (Conference Room),"611 W Main St, Boonville, IN 47601"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Every Thurs,"10:00 AM, EST",Marion City Hall,"301 S Branson St, Marion, IN 46952"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,First Tuesday,"1:00 PM, EST",Broad Ripple Fire Station,"6330 Guilford Ave, Indianapolis, IN 46220"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second and Fourth Tues,"1:00 PM, EST",Zionsville Town Hall,"1100 W Oak St, Zionsville, IN 46077"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Tues,"9:00 AM, EST",Fay Biccard Glick Neighborhood Center,"2990 W 71st St, Indianapolis, IN 46268"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Wed,"10:00 AM, EST",Greentown Utility Office,"112 N Meridian St, Greentown, IN 46936"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Wed,"12:30 PM, EST",Tipton Co. Economic Development Organization,"114 S Main St, Tipton, IN 46072"
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Third Wed,"1:00 PM, EST",Hartford City Hall,"700 N Walnut St, Hartford City, IN 47348"
